TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
11/01/06;N;;29;28;31;6;292;9,5;117;315;8;12,86;2;50;0
12/01/06;N;;22;26;33;58;292;9,5;117;315;6;13,92;24;0;0
13/01/06;N;;16;20;35;11;292;9,5;0;45;3;0;0;0;0
05/05/06;N;;33;22;28;9;157;10,225;118;0;4;15,63;6;30;0
07/05/06;N;;81;2;32;7;0;0;0;0;0;0;0;0;0
06/05/06;N;;36;54;23;40;135;10,15;118;315;3;15,65;24;0;0
08/10/06;N;;73;49;42;15;0;10;117,5;0;4;0;24;0;0
26/02/06;N;;4;2;36;19;270;8,6;119,8;270;8;14,51;13;48;0
01/03/06;N;;9;52;38;57;270;7,5;117,4;270;6;14,76;18;30;0
06/03/06;N;;28;41;40;44;0;7,2;118;112;6;15,57;7;0;0
28/02/06;N;;32;33;33;46;315;7;118;45;4;15,6;9;30;0
29/07/06;N;;52;0;27;6;292;6,7;118;0;4;15,63;21;12;0
17/06/07;N;;84;57;5;3;270;10,45;119,5;247;7;12,9;24;0;0
17/06/07;N;;24;24;71;27;225;9,65;119,9;270;6;14,11;18;0;0
16/06/07;N;;51;4;0;6;;0;0;;1;0;0;0;0
17/06/07;N;;53;53;1;45;;10;116,4;;0;11,4;20;0;0
18/06/07;N;;78;13;6;43;315;10,36;119,4;270;8;13;25;0;0
18/06/07;N;;11;9;68;38;180;9,65;119,9;270;5;13,75;24;0;0
18/06/07;N;;57;28;2;11;;10;116,5;;0;10,92;25;0;0
19/06/07;N;;74;33;7;16;315;10,91;117,9;315;8;11,6;24;0;0
02/04/06;N;;3;20;6;22;0;7,18;0;0;0;0;0;0;0
03/04/06;N;;3;20;6;22;0;7,18;0;0;0;0;0;0;0
04/04/06;N;;3;20;6;22;0;7,18;0;0;0;0;0;0;0
05/04/06;N;;3;20;6;22;0;7,18;0;0;0;0;0;0;0
05/04/06;N;;25;23;37;54;157;6,75;118;202;4;14,58;21;0;0
23/06/06;N;;72;28;30;36;157;10,42;117,5;157;6;0;24;0;0
21/06/06;N;;13;51;33;42;0;6,8;119,7;0;5;0;24;0;0
07/05/06;N;;39;57;18;40;157;10,125;119,7;315;1;15,86;24;0;0
08/05/06;N;;42;5;14;20;157;10,15;120;135;6;15,9;24;0;0
07/05/06;N;;81;2;32;7;0;9;0;0;0;0;0;0;0
11/10/06;N;;59;1;34;6;180;5,95;90;0;2;0;15;30;0
16/10/06;N;;58;15;34;39;0;9,42;77;90;3;0;16;0;0
17/10/06;N;;53;20;34;10;45;9,42;119,6;270;3;0;24;0;0
23/09/06;N;;0;0;0;0;0;0;0;0;0;0;0;0;0
18/08/06;N;;91;6;27;4;135;10,3;119,7;45;3;0;16;0;0
01/03/06;N;;26;40;34;7;292;7;118;292;6;15,6;24;0;0
04/06/06;N;;1;46;50;14;0;6,8;0;0;0;0;0;0;0
05/06/06;N;;65;46;14;4;135;7;114;135;5;14,5;14;30;0
07/06/06;N;;64;14;10;36;0;7,97;0;0;0;0;0;0;0
05/06/06;N;;1;46;50;14;0;6,8;0;0;1;0;0;0;0
23/08/06;N;;0;0;0;0;0;0;0;0;0;0;0;0;0
07/07/06;N;;81;11;24;19;270;9,83;119,7;135;3;0;25;0;0
24/08/06;N;;0;0;0;0;0;10;0;0;0;0;0;0;0
08/07/06;N;;87;36;25;7;315;9,83;119,7;90;3;0;24;0;0
19/06/07;N;;5;57;62;27;180;9,65;120;270;4;14,24;25;0;0
15/06/07;N;;59;39;33;38;279;9,1;95,3;135;3;12,6;22;48;0
26/12/06;N;;30;48;31;16;45;9,65;119,8;0;4;14,2;3;18;0
