stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
15.67,7.43,29.0,7.22,127.10000000000002,0.54,259.9,2019-11-09 17:48:00,33.814617,126.724833
15.47,7.43,28.0,7.89,128.2,0.54,259.8,2019-11-09 17:49:00,33.814,126.72066699999999
15.53,7.43,28.0,6.5,126.89999999999998,0.54,260.1,2019-11-09 17:50:00,33.813367,126.716333
15.55,7.43,29.0,6.66,133.10000000000002,0.54,259.9,2019-11-09 17:51:00,33.812767,126.712
15.64,7.43,31.0,7.58,137.2,0.54,259.8,2019-11-09 17:52:00,33.812133,126.70766699999999
15.69,7.43,26.96,5.53,145.0,0.54,260.0,2019-11-09 17:53:00,33.811516999999995,126.703333
15.66,7.43,29.0,8.86,125.3,0.54,259.7,2019-11-09 17:54:00,33.810883000000004,126.699
15.55,7.43,28.0,9.27,128.10000000000002,0.54,259.9,2019-11-09 17:55:00,33.81025,126.694667
15.72,7.43,29.0,9.22,128.2,0.54,259.8,2019-11-09 17:56:00,33.8096,126.69033300000001
15.66,7.43,28.0,9.73,125.2,0.54,259.8,2019-11-09 17:57:00,33.808933,126.686167
15.58,7.43,28.0,10.14,124.0,0.54,260.0,2019-11-09 17:58:00,33.8083,126.68183300000001
15.56,7.43,29.0,9.32,126.39999999999998,0.54,259.6,2019-11-09 17:59:00,33.807683000000004,126.6775
15.48,7.43,28.0,9.57,126.5,0.54,259.5,2019-11-09 18:00:00,33.806999999999995,126.67316699999999
15.44,7.43,29.0,9.42,137.2,0.54,259.8,2019-11-09 18:01:00,33.806267,126.669
15.59,7.43,28.0,9.93,142.89999999999995,0.54,260.1,2019-11-09 18:02:00,33.805517,126.6645
15.69,7.43,29.0,9.63,141.60000000000005,0.54,260.4,2019-11-09 18:03:00,33.804883000000004,126.66016699999999
15.59,7.43,29.0,9.73,144.8,0.54,260.2,2019-11-09 18:04:00,33.804183,126.656
15.46,7.43,28.0,10.65,150.7,0.54,260.3,2019-11-09 18:05:00,33.803567,126.65166699999999
15.53,7.43,31.0,10.75,151.89999999999995,0.54,260.1,2019-11-09 18:06:00,33.802733,126.647333
15.64,7.43,29.0,10.19,146.0,0.54,260.0,2019-11-09 18:07:00,33.801967,126.64299999999999
15.87,7.43,31.0,10.7,162.0,0.54,260.0,2019-11-09 18:08:00,33.801283000000005,126.639
15.84,7.43,28.0,8.45,141.10000000000005,0.54,259.9,2019-11-09 18:09:00,33.800533,126.634833
15.64,7.43,29.0,7.73,132.8,0.54,260.2,2019-11-09 18:10:00,33.799783000000005,126.63066699999999
15.55,7.43,29.0,9.68,143.89999999999995,0.54,260.1,2019-11-09 18:11:00,33.79905,126.6265
15.42,7.43,28.0,11.52,148.89999999999995,0.54,260.1,2019-11-09 18:12:00,33.798317,126.62216699999999
15.39,7.43,30.0,9.78,141.2,0.54,261.8,2019-11-09 18:13:00,33.797616999999995,126.618
15.37,7.43,32.0,10.96,151.8,0.54,261.2,2019-11-09 18:14:00,33.797,126.61383300000001
15.51,7.43,29.0,11.88,143.7,0.54,261.3,2019-11-09 18:15:00,33.796383,126.6095
15.45,7.43,28.0,10.34,148.7,0.54,261.3,2019-11-09 18:16:00,33.795783,126.605333
15.4,7.43,29.0,10.65,149.89999999999995,0.54,261.1,2019-11-09 18:17:00,33.7952,126.601
15.48,7.43,31.0,9.42,144.2,0.54,260.8,2019-11-09 18:18:00,33.794567,126.596667
15.49,7.43,31.0,11.01,143.0,0.54,261.0,2019-11-09 18:19:00,33.793917,126.5925
15.6,7.43,31.0,9.83,143.89999999999995,0.54,261.1,2019-11-09 18:20:00,33.7933,126.588167
15.44,7.43,28.0,10.34,148.10000000000005,0.54,260.9,2019-11-09 18:21:00,33.792683000000004,126.58383300000001
15.4,7.43,31.0,10.96,149.0,0.54,261.0,2019-11-09 18:22:00,33.79205,126.57966699999999
15.32,7.43,29.0,11.37,146.89999999999995,0.54,261.1,2019-11-09 18:23:00,33.791433000000005,126.575333
15.34,7.43,30.0,11.01,135.0,0.54,261.0,2019-11-09 18:24:00,33.790817,126.571
15.36,7.43,30.0,10.29,147.0,0.54,261.0,2019-11-09 18:25:00,33.790217,126.566833
15.42,7.43,29.0,11.26,152.2,0.54,260.8,2019-11-09 18:26:00,33.789567,126.5625
15.34,7.43,28.0,11.57,149.89999999999995,0.54,261.1,2019-11-09 18:27:00,33.7889,126.558167
15.38,7.43,29.0,12.34,153.0,0.54,261.0,2019-11-09 18:28:00,33.788267,126.55383300000001
15.44,7.43,29.0,10.24,148.3,0.54,260.7,2019-11-09 18:29:00,33.787583000000005,126.5495
15.46,7.43,29.0,9.01,140.8,0.54,261.2,2019-11-09 18:30:00,33.7869,126.54516699999999
15.47,7.43,28.0,9.47,146.8,0.54,261.2,2019-11-09 18:31:00,33.786233,126.540833
15.51,7.43,29.0,10.65,146.89999999999995,0.54,261.1,2019-11-09 18:32:00,33.785583,126.53633300000001
15.52,7.43,28.0,8.7,150.89999999999995,0.54,261.1,2019-11-09 18:33:00,33.78495,126.53216699999999
15.57,7.43,29.0,9.63,139.7,0.54,261.3,2019-11-09 18:34:00,33.784317,126.527833
15.58,7.43,29.95,10.96,148.8,0.54,261.2,2019-11-09 18:35:00,33.783683,126.52316699999999
15.52,7.43,29.95,9.37,145.0,0.54,261.0,2019-11-09 18:36:00,33.7831,126.518833
